pairing,condition,seed,vessel_collision_rate,vessel_collisions_per_ep,near_misses_per_ep,min_cpa,collision_contact_steps,give_way_events,success_rate,mean_reward,static_collisions,cte_mean,iala_violations,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_encounters,n_vessel_rows,n_solved
RuleBased_vs_RuleBased,clean,1,36.666666666666664,0.36666666666666664,0.26666666666666666,151.14139666666662,18.233333333333334,4.466666666666667,23.333333333333332,-641.8850466666667,0.0,3.157525,0.0,0.0,0.0,1.0,47.166666666666664,30,60,14
RuleBased_vs_RuleBased,clean,2,40.0,0.9666666666666667,0.4,87.11001666666668,10.333333333333334,5.533333333333333,45.0,-360.0158083333332,0.0,5.6468050000000005,0.0,0.0,0.0,1.0,37.733333333333334,30,60,27
RuleBased_vs_RuleBased,clean,3,40.0,0.9,0.6,119.20917666666665,11.6,3.2333333333333334,43.333333333333336,-394.0323366666666,0.0,11.645523333333333,0.0,0.0,0.0,1.0,39.416666666666664,30,60,26
RuleBased_vs_RuleBased,clean,4,50.0,1.8,0.6666666666666666,124.39330666666666,17.4,2.6333333333333333,50.0,-547.6605966666667,0.0,9.80281,0.0,0.0,0.0,1.0,34.516666666666666,30,60,30
RuleBased_vs_RuleBased,clean,5,20.0,0.8333333333333334,0.26666666666666666,201.39557666666667,1.2666666666666666,0.9333333333333333,40.0,-78.59395666666667,0.0,9.649075000000002,0.0,0.0,0.0,1.0,39.6,30,60,24
RuleBased_vs_RuleBased,clean,6,63.33333333333333,2.1,1.2666666666666666,57.983109999999996,5.033333333333333,2.7,73.33333333333333,-127.82579333333332,0.0,19.378263333333333,0.0,0.0,0.0,1.0,23.466666666666665,30,60,44
RuleBased_vs_RuleBased,clean,7,30.0,0.5333333333333333,0.3,108.24247666666665,10.3,4.266666666666667,63.33333333333333,-308.8277616666667,0.0,2.4118733333333333,0.0,0.0,0.0,1.0,28.733333333333334,30,60,38
RuleBased_vs_RuleBased,harsh,0,43.333333333333336,0.8666666666666667,0.6666666666666666,93.11697333333333,12.566666666666666,2.2666666666666666,48.333333333333336,-428.6726516666667,0.8833333333333333,35.82791666666666,17.483333333333334,14.7,10.254562068965514,1.0,35.95,30,60,29
RuleBased_vs_RuleBased,harsh,1,36.666666666666664,0.36666666666666664,0.26666666666666666,151.30254666666667,14.7,2.7666666666666666,23.333333333333332,-572.0656483333333,1.3333333333333333,15.692820000000001,18.083333333333332,19.266666666666666,13.759700000000004,1.0,47.166666666666664,30,60,14
RuleBased_vs_RuleBased,harsh,2,33.33333333333333,0.8333333333333334,0.4,90.50594,8.433333333333334,3.3666666666666667,45.0,-317.18089333333336,0.6166666666666667,17.452845,13.75,16.383333333333333,11.070951851851852,1.0,37.733333333333334,30,60,27
