agent,condition,seed,success_rate,mean_reward,collision_rate,collisions_per_ep,iala_violations,cte_mean,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_solved,n_eval
DoubleDQN,harsh,3,26.666666666666668,-99.33325666666666,36.666666666666664,0.6666666666666666,66.46666666666667,30.90824666666667,20.466666666666665,8.831249999999999,6.4867,51.766666666666666,8,30
DoubleDQN,harsh,4,36.666666666666664,-79.60095333333332,26.666666666666668,0.5666666666666667,54.666666666666664,46.13765,19.4,14.332836363636364,3.735318181818182,49.43333333333333,11,30
DoubleDQN,harsh,5,16.666666666666664,-124.77488666666666,40.0,1.0,60.5,43.96952,21.566666666666666,12.456,6.2191,53.93333333333333,5,30
DoubleDQN,harsh,6,13.333333333333334,-131.29069333333334,40.0,0.6,63.3,34.50277333333334,22.9,8.585725,4.88415,55.96666666666667,4,30
DoubleDQN,harsh,7,26.666666666666668,-107.67473666666667,53.333333333333336,1.1666666666666667,63.06666666666667,33.91999666666667,19.7,9.9595375,2.616925,50.2,8,30
DoubleDQN,harsh,8,26.666666666666668,-117.79149333333334,36.666666666666664,1.6333333333333333,58.06666666666667,35.758273333333335,19.033333333333335,9.8246125,3.0383375000000004,50.56666666666667,8,30
DoubleDQN,harsh,9,30.0,-97.76194333333332,33.33333333333333,0.7666666666666667,64.83333333333333,40.02476333333334,20.266666666666666,8.287466666666667,4.0308,51.8,9,30
DoubleDQN,harsh,10,3.3333333333333335,-152.82389666666668,23.333333333333332,0.5666666666666667,77.76666666666667,77.64707666666666,23.633333333333333,10.993,1.1666,58.3,1,30
DoubleDQN,harsh,11,16.666666666666664,-167.51953333333333,50.0,1.9,68.83333333333333,83.56366333333332,21.633333333333333,21.764580000000002,8.33996,55.333333333333336,5,30
DoubleDQN,harsh,12,26.666666666666668,-110.20195333333335,36.666666666666664,1.2333333333333334,59.5,18.865253333333328,20.1,7.8888625,3.454,51.4,8,30
DoubleDQN,harsh,13,40.0,-124.94251999999999,56.666666666666664,2.7333333333333334,50.96666666666667,24.51774666666667,18.5,11.831816666666667,4.285566666666667,48.03333333333333,12,30
DoubleDQN,harsh,14,40.0,-80.51172000000001,53.333333333333336,1.1333333333333333,51.56666666666667,23.133773333333334,20.2,9.383216666666666,2.861641666666667,48.666666666666664,12,30
DoubleDQN,mid,0,30.0,-93.40795333333332,53.333333333333336,1.0333333333333334,18.033333333333335,27.02619,8.7,5.438577777777778,1.6280444444444444,46.166666666666664,9,30
DoubleDQN,mid,1,33.33333333333333,-86.56669333333335,36.666666666666664,0.8666666666666667,17.433333333333334,34.84959333333334,9.866666666666667,6.93244,5.25384,47.36666666666667,10,30
DoubleDQN,mid,2,23.333333333333332,-101.31924666666667,16.666666666666664,0.16666666666666666,22.3,69.49474333333333,10.633333333333333,5.132571428571429,3.1273857142857144,55.266666666666666,7,30
